sample	FALSE
C6_0.5h_1	1
C6_0.5h_2	1
C6_12h_1	227633
C6_12h_2	209528
C6_12h_3	122813
C6_1h_1	804
C6_1h_2	743
C6_1h_3	404
C6_2h_1	1103
C6_2h_2	1420
C6_2h_3	110
C6_4h_1	1934
C6_4h_2	1989
C6_4h_3	1076
C6_6h_1	7096
C6_6h_2	11256
C6_6h_3	8969
C6_8h_1	38803
C6_8h_2	42067
C6_8h_3	35773
C6_dRNA	8932
NRK_1h_1	126
NRK_1h_2	183
NRK_1h_3	113
NRK_2h_1	450
NRK_2h_2	375
NRK_2h_3	610
PC-12_0.5h_1	39
PC-12_0.5h_2	19
PC-12_0.5h_3	12
PC-12_1.5h_1	269
PC-12_1.5h_2	309
PC-12_1.5h_3	373
PC-12_12h_1	186590
PC-12_12h_2	226158
PC-12_12h_3	165037
PC-12_1h_1	639
PC-12_1h_2	441
PC-12_1h_3	619
PC-12_2.5h_1	1158
PC-12_2.5h_2	576
PC-12_2.5h_3	1136
PC-12_2h_1	1632
PC-12_2h_2	1428
PC-12_2h_3	1813
PC-12_4h_1	9607
PC-12_4h_2	9071
PC-12_4h_3	10845
PC-12_6h_1	30283
PC-12_6h_2	48737
PC-12_6h_3	40889
PC-12_8h_1	58484
PC-12_8h_2	68166
PC-12_8h_3	5588
PC-12_dRNA	24937
PK-15_12h_1	316747
PK-15_12h_2	367094
PK-15_12h_3	416381
PK-15_1h_1	866
PK-15_1h_2	583
PK-15_1h_3	332
PK-15_2h_1	3296
PK-15_2h_2	2950
PK-15_2h_3	9455
PK-15_4h_1	24531
PK-15_4h_2	25783
PK-15_4h_3	23756
PK-15_6h_1	119396
PK-15_6h_2	103507
PK-15_6h_3	108405
PK-15_8h_1	196120
PK-15_8h_2	200720
PK-15_8h_3	213172
PK-15_dRNA	128114
